Account,Date,Sentiment,DailyPnL,TradesCount,WinRate,AvgTradeSizeUSD,LongShortRatio,DailyFee,LossDay,Segment,WinnerType,ProfitBucket,SentimentCode
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-06-12,Greed,-175611.00005600002,33,0.0,36736.36242424243,1212299960000000.0,121.229992,1,High Frequency,Consistent Winner,0,1
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-11,Greed,0.0,177,0.0,5089.718248587571,0.0,167.796055,0,High Frequency,Consistent Winner,0,1
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-01-03,Greed,9482.221441,45,0.8,2985.797555555556,0.9977059838153435,6.71802,0,High Frequency,Consistent Winner,1,1
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-02,Greed,76710.0,10,0.9,185847.0,0.9955867667429039,92.923496,0,High Frequency,Consistent Winner,1,1
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-03-02,Fear,101011.685664,839,0.30512514898688914,23593.019856972587,0.9032615768203304,2355.038296,0,High Frequency,Consistent Winner,1,0
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-03-03,Fear,533974.662903,641,0.8424336973478939,8371.136099843994,4.295466209409714,268.294625,0,High Frequency,Consistent Winner,1,0
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-04-02,Fear,375620.270243,531,0.15630885122410546,10576.687156308852,0.7381648234833519,704.19937,0,High Frequency,Consistent Winner,1,0
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-05-02,Greed,44400.9058,210,0.37142857142857144,26585.06338095238,0.5376490539100948,700.101577,0,High Frequency,Consistent Winner,1,1
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-01-12,Greed,0.0,1,0.0,0.06,0.0,0.0,0,High Frequency,Others,0,1
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-06-12,Greed,0.0,34,0.0,1426.8700000000001,48513580000000.0,1.31668822,0,High Frequency,Others,0,1
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-07-12,Fear,3515.031065,26,0.9615384615384616,2001.101153846154,0.0,5.2028479999999995,0,High Frequency,Others,1,0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-09-12,Fear,0.0,46,0.0,1131.888695652174,52066879999999.99,1.4383267,0,High Frequency,Others,0,0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-10-12,Greed,2517.787385,64,0.984375,852.88625,0.0,19.104602,0,High Frequency,Others,1,1
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-02,Greed,1162.002541,78,0.32051282051282054,2094.719358974359,0.985875073776848,29.90369878,0,High Frequency,Others,1,1
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-05,Greed,1243.853569,250,0.324,815.50576,0.9878709284888194,31.0304917,0,High Frequency,Others,1,1
